target,route,viewport,src,alt,href,naturalWidth,naturalHeight,assetShape,assetRatio,renderedWidth,renderedHeight,slotShape,slotRatio,objectFit,mismatch,action
baseworldz,/,desktop,/assets/desktop/oneworldz/oneworldz-master.png,Approved OneWorldz global gateway artwork,,1536,1229,landscape,1.25,605,484,landscape,1.25,contain,false,KEEP
baseworldz,/,mobile,/assets/mobile/baseworldz.webp,BaseWorldz official identity,http://127.0.0.1:33743/,1536,1536,square,1,40,40,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/desktop/blockchains/baseworldz.png,BaseWorldz approved desktop and mobile production artwork,,1536,1536,square,1,388,259,landscape,1.498,contain,true,REPLACE_OR_RECREATE_TO_SLOT_SHAPE
baseworldz,/,mobile,/assets/mobile/solworldz.webp,SolWorldz official approved profile artwork,https://solworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/mobile/ethworldz.webp,EthWorldz official approved profile artwork,https://ethworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/mobile/baseworldz.webp,BaseWorldz current World identity,https://baseworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/mobile/bnbworldz.webp,BNBWorldz official approved profile artwork,https://bnbworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/mobile/xrpworldz.webp,XRPWorldz official approved profile artwork,https://xrpworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/mobile/suiworldz.webp,SuiWorldz official approved profile artwork,https://suiworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/mobile/hyperworldz.webp,HyperWorldz official approved profile artwork,https://hyperworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/mobile/robinworldz.webp,RobinWorldz official approved profile artwork,https://robinworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/mobile/next-big-coin.webp,HodlerWorldz education recognition and rewards identity,https://hodlerworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/desktop/cryptoworldz/command-centre-five.png,Command Centre Ultimate five protected system roles,,1536,1024,landscape,1.5,352,235,landscape,1.498,contain,false,KEEP
baseworldz,/,mobile,/assets/desktop/cryptoworldz/cryptoworldz-basedbid.webp,Approved LaunchPad and Based.bid partnership artwork,,1536,1024,landscape,1.5,352,235,landscape,1.498,contain,false,KEEP
baseworldz,/,mobile,/assets/desktop/cryptoworldz/impactbased.png,Approved ImpactBased production artwork,,1536,1536,square,1,352,352,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/support/desktop/reagan-children-emblem-desktop.webp,Reagan and Children support emblem,https://cryptoworldz.xyz/support/reagan-children/,900,900,square,1,80,80,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/support/desktop/community-impact-emblem-desktop.webp,OneWorldz Community Impact emblem,https://cryptoworldz.xyz/support/community-impact/,900,900,square,1,80,80,square,1,contain,false,KEEP
baseworldz,/,mobile,/assets/support/desktop/jayjayteamdev-emblem-desktop.webp,JayJayTeamDev Helping Hands emblem,https://cryptoworldz.xyz/support/jayjayteamdev/,900,900,square,1,80,92,portrait-wide,0.87,contain,false,KEEP
baseworldz,/,mobile,/assets/desktop/purple-diamond-crew/banner.png,Approved Purple Diamond Crew production artwork,,1229,1536,portrait-wide,0.8,352,440,portrait-wide,0.8,contain,false,KEEP
baseworldz,/,mobile,/assets/desktop/oneworldz/oneworldz-master.png,Approved OneWorldz global gateway artwork,,1229,1536,portrait-wide,0.8,352,440,portrait-wide,0.8,contain,false,KEEP
baseworldz,/acknowledgements/,desktop,/assets/mobile/baseworldz.webp,BaseWorldz official identity,http://127.0.0.1:33743/,1536,1536,square,1,54,54,square,1,contain,false,KEEP
baseworldz,/acknowledgements/,mobile,/assets/mobile/baseworldz.webp,BaseWorldz official identity,http://127.0.0.1:33743/,1536,1536,square,1,40,40,square,1,contain,false,KEEP
baseworldz,/dex/,desktop,/assets/mobile/baseworldz.webp,BaseWorldz official identity,http://127.0.0.1:33743/,1536,1536,square,1,54,54,square,1,contain,false,KEEP
baseworldz,/dex/,desktop,/assets/desktop/blockchains/baseworldz.png,BaseWorldz approved production artwork,,1536,512,banner,3,1438,479,banner,3.002,contain,false,KEEP
baseworldz,/dex/,mobile,/assets/mobile/baseworldz.webp,BaseWorldz official identity,http://127.0.0.1:33743/,1536,1536,square,1,40,40,square,1,contain,false,KEEP
baseworldz,/dex/,mobile,/assets/desktop/blockchains/baseworldz.png,BaseWorldz approved production artwork,,1536,1536,square,1,388,259,landscape,1.498,contain,true,REPLACE_OR_RECREATE_TO_SLOT_SHAPE
baseworldz,/directory/,desktop,/assets/mobile/baseworldz.webp,BaseWorldz official identity,http://127.0.0.1:33743/,1536,1536,square,1,54,54,square,1,contain,false,KEEP
baseworldz,/directory/,mobile,/assets/mobile/baseworldz.webp,BaseWorldz official identity,http://127.0.0.1:33743/,1536,1536,square,1,40,40,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/mobile/bnbworldz.webp,BNBWorldz official identity,http://127.0.0.1:34343/,1536,1536,square,1,54,54,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/desktop/blockchains/bnbworldz.png,BNBWorldz approved desktop and mobile production artwork,,1536,512,banner,3,1438,479,banner,3.002,contain,false,KEEP
bnbworldz,/,desktop,/assets/mobile/solworldz.webp,SolWorldz official approved profile artwork,https://solworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/mobile/ethworldz.webp,EthWorldz official approved profile artwork,https://ethworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/mobile/baseworldz.webp,BaseWorldz official approved profile artwork,https://baseworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/mobile/bnbworldz.webp,BNBWorldz current World identity,https://bnbworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/mobile/xrpworldz.webp,XRPWorldz official approved profile artwork,https://xrpworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/mobile/suiworldz.webp,SuiWorldz official approved profile artwork,https://suiworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/mobile/hyperworldz.webp,HyperWorldz official approved profile artwork,https://hyperworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/mobile/robinworldz.webp,RobinWorldz official approved profile artwork,https://robinworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/mobile/next-big-coin.webp,HodlerWorldz education recognition and rewards identity,https://hodlerworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/desktop/cryptoworldz/command-centre-five.png,Command Centre Ultimate five protected system roles,,1536,1024,landscape,1.5,605,403,landscape,1.501,contain,false,KEEP
bnbworldz,/,desktop,/assets/desktop/cryptoworldz/cryptoworldz-basedbid.webp,Approved LaunchPad and Based.bid partnership artwork,,1536,1024,landscape,1.5,605,403,landscape,1.501,contain,false,KEEP
bnbworldz,/,desktop,/assets/desktop/cryptoworldz/impactbased.png,Approved ImpactBased production artwork,,1536,1536,square,1,605,605,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/support/desktop/reagan-children-emblem-desktop.webp,Reagan and Children support emblem,https://cryptoworldz.xyz/support/reagan-children/,1254,1254,square,1,158,158,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/support/desktop/community-impact-emblem-desktop.webp,OneWorldz Community Impact emblem,https://cryptoworldz.xyz/support/community-impact/,1254,1254,square,1,158,158,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/support/desktop/jayjayteamdev-emblem-desktop.webp,JayJayTeamDev Helping Hands emblem,https://cryptoworldz.xyz/support/jayjayteamdev/,1254,1254,square,1,158,158,square,1,contain,false,KEEP
bnbworldz,/,desktop,/assets/desktop/purple-diamond-crew/banner.png,Approved Purple Diamond Crew production artwork,,1536,512,banner,3,605,202,banner,2.995,contain,false,KEEP
bnbworldz,/,desktop,/assets/desktop/oneworldz/oneworldz-master.png,Approved OneWorldz global gateway artwork,,1536,1229,landscape,1.25,605,484,landscape,1.25,contain,false,KEEP
bnbworldz,/,mobile,/assets/mobile/bnbworldz.webp,BNBWorldz official identity,http://127.0.0.1:34343/,1536,1536,square,1,40,40,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/desktop/blockchains/bnbworldz.png,BNBWorldz approved desktop and mobile production artwork,,1536,1536,square,1,388,259,landscape,1.498,contain,true,REPLACE_OR_RECREATE_TO_SLOT_SHAPE
bnbworldz,/,mobile,/assets/mobile/solworldz.webp,SolWorldz official approved profile artwork,https://solworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/mobile/ethworldz.webp,EthWorldz official approved profile artwork,https://ethworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/mobile/baseworldz.webp,BaseWorldz official approved profile artwork,https://baseworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/mobile/bnbworldz.webp,BNBWorldz current World identity,https://bnbworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/mobile/xrpworldz.webp,XRPWorldz official approved profile artwork,https://xrpworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/mobile/suiworldz.webp,SuiWorldz official approved profile artwork,https://suiworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/mobile/hyperworldz.webp,HyperWorldz official approved profile artwork,https://hyperworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/mobile/robinworldz.webp,RobinWorldz official approved profile artwork,https://robinworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/mobile/next-big-coin.webp,HodlerWorldz education recognition and rewards identity,https://hodlerworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/desktop/cryptoworldz/command-centre-five.png,Command Centre Ultimate five protected system roles,,1536,1024,landscape,1.5,352,235,landscape,1.498,contain,false,KEEP
bnbworldz,/,mobile,/assets/desktop/cryptoworldz/cryptoworldz-basedbid.webp,Approved LaunchPad and Based.bid partnership artwork,,1536,1024,landscape,1.5,352,235,landscape,1.498,contain,false,KEEP
bnbworldz,/,mobile,/assets/desktop/cryptoworldz/impactbased.png,Approved ImpactBased production artwork,,1536,1536,square,1,352,352,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/support/desktop/reagan-children-emblem-desktop.webp,Reagan and Children support emblem,https://cryptoworldz.xyz/support/reagan-children/,900,900,square,1,80,80,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/support/desktop/community-impact-emblem-desktop.webp,OneWorldz Community Impact emblem,https://cryptoworldz.xyz/support/community-impact/,900,900,square,1,80,80,square,1,contain,false,KEEP
bnbworldz,/,mobile,/assets/support/desktop/jayjayteamdev-emblem-desktop.webp,JayJayTeamDev Helping Hands emblem,https://cryptoworldz.xyz/support/jayjayteamdev/,900,900,square,1,80,92,portrait-wide,0.87,contain,false,KEEP
bnbworldz,/,mobile,/assets/desktop/purple-diamond-crew/banner.png,Approved Purple Diamond Crew production artwork,,1229,1536,portrait-wide,0.8,352,440,portrait-wide,0.8,contain,false,KEEP
bnbworldz,/,mobile,/assets/desktop/oneworldz/oneworldz-master.png,Approved OneWorldz global gateway artwork,,1229,1536,portrait-wide,0.8,352,440,portrait-wide,0.8,contain,false,KEEP
bnbworldz,/acknowledgements/,desktop,/assets/mobile/bnbworldz.webp,BNBWorldz official identity,http://127.0.0.1:34343/,1536,1536,square,1,54,54,square,1,contain,false,KEEP
bnbworldz,/acknowledgements/,mobile,/assets/mobile/bnbworldz.webp,BNBWorldz official identity,http://127.0.0.1:34343/,1536,1536,square,1,40,40,square,1,contain,false,KEEP
bnbworldz,/dex/,desktop,/assets/mobile/bnbworldz.webp,BNBWorldz official identity,http://127.0.0.1:34343/,1536,1536,square,1,54,54,square,1,contain,false,KEEP
bnbworldz,/dex/,desktop,/assets/desktop/blockchains/bnbworldz.png,BNBWorldz approved production artwork,,1536,512,banner,3,1438,479,banner,3.002,contain,false,KEEP
bnbworldz,/dex/,mobile,/assets/mobile/bnbworldz.webp,BNBWorldz official identity,http://127.0.0.1:34343/,1536,1536,square,1,40,40,square,1,contain,false,KEEP
bnbworldz,/dex/,mobile,/assets/desktop/blockchains/bnbworldz.png,BNBWorldz approved production artwork,,1536,1536,square,1,388,259,landscape,1.498,contain,true,REPLACE_OR_RECREATE_TO_SLOT_SHAPE
bnbworldz,/directory/,desktop,/assets/mobile/bnbworldz.webp,BNBWorldz official identity,http://127.0.0.1:34343/,1536,1536,square,1,54,54,square,1,contain,false,KEEP
bnbworldz,/directory/,mobile,/assets/mobile/bnbworldz.webp,BNBWorldz official identity,http://127.0.0.1:34343/,1536,1536,square,1,40,40,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/desktop/cryptoworldz/zed-command-centre.png,,http://127.0.0.1:40781/,1536,1536,square,1,54,54,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/desktop/cryptoworldz/zed-command-centre.png,Approved ZED Command Centre artwork for CryptoWorldz headquarters,,1536,1536,square,1,1178,1178,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/desktop/cryptoworldz/we-need-you.png,Approved CryptoWorldz builder and alliance production artwork,,1536,864,landscape,1.778,605,340,landscape,1.779,contain,false,KEEP
cryptoworldz,/,desktop,/assets/mobile/solworldz.webp,SolWorldz official approved profile artwork,https://solworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/mobile/ethworldz.webp,EthWorldz official approved profile artwork,https://ethworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/mobile/baseworldz.webp,BaseWorldz official approved profile artwork,https://baseworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/mobile/bnbworldz.webp,BNBWorldz official approved profile artwork,https://bnbworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/mobile/xrpworldz.webp,XRPWorldz official approved profile artwork,https://xrpworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/mobile/suiworldz.webp,SuiWorldz official approved profile artwork,https://suiworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/mobile/hyperworldz.webp,HyperWorldz official approved profile artwork,https://hyperworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/mobile/robinworldz.webp,RobinWorldz official approved profile artwork,https://robinworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/mobile/next-big-coin.webp,HodlerWorldz education recognition and rewards identity,https://hodlerworldz.xyz/,1536,1536,square,1,174,174,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/desktop/cryptoworldz/command-centre-five.png,The five approved CryptoWorldz system leaders,,1536,1024,landscape,1.5,605,403,landscape,1.501,contain,false,KEEP
cryptoworldz,/,desktop,/assets/desktop/cryptoworldz/cryptoworldz-basedbid.webp,Approved CryptoWorldz and Based.bid partnership production artwork,,1536,1024,landscape,1.5,605,403,landscape,1.501,contain,false,KEEP
cryptoworldz,/,desktop,/assets/desktop/cryptoworldz/impactbased.png,Approved ImpactBased production artwork,,1536,1536,square,1,605,605,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/support/desktop/reagan-children-emblem-desktop.webp,Reagan and Children support emblem,https://cryptoworldz.xyz/support/reagan-children/,1254,1254,square,1,259,259,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/support/desktop/community-impact-emblem-desktop.webp,OneWorldz Community Impact emblem,https://cryptoworldz.xyz/support/community-impact/,1254,1254,square,1,259,259,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/support/desktop/jayjayteamdev-emblem-desktop.webp,JayJayTeamDev Helping Hands emblem,https://cryptoworldz.xyz/support/jayjayteamdev/,1254,1254,square,1,259,259,square,1,contain,false,KEEP
cryptoworldz,/,desktop,/assets/support/davis-family/davis-family-hero.webp,Davis Family dedicated support,https://donateworldz.com/davis-family/,1536,864,landscape,1.778,174,240,portrait-wide,0.725,contain,true,REPLACE_OR_RECREATE_TO_SLOT_SHAPE
cryptoworldz,/,desktop,/assets/desktop/purple-diamond-crew/banner.png,Approved Purple Diamond Crew and Hope Chest production artwork,,1536,512,banner,3,605,202,banner,2.995,contain,false,KEEP
cryptoworldz,/,desktop,/assets/desktop/oneworldz/oneworldz-master.png,Approved OneWorldz One Vision production artwork,,1536,1229,landscape,1.25,605,484,landscape,1.25,contain,false,KEEP
cryptoworldz,/,desktop,/assets/link-previews/cryptoworldz.png,CryptoWorldz headquarters preview,http://127.0.0.1:40781/,1536,1536,square,1,296,150,wide-landscape,1.973,contain,true,REPLACE_OR_RECREATE_TO_SLOT_SHAPE
cryptoworldz,/,desktop,/assets/link-previews/command-centre.png,Command Centre Ultimate preview,http://127.0.0.1:40781/command-centre/,1536,1024,landscape,1.5,296,150,wide-landscape,1.973,contain,true,REPLACE_OR_RECREATE_TO_SLOT_SHAPE
cryptoworldz,/,desktop,/assets/link-previews/miniapp.png,CryptoWorldz MiniApp preview,http://127.0.0.1:40781/miniapp/,1536,1229,landscape,1.25,296,150,wide-landscape,1.973,contain,true,REPLACE_OR_RECREATE_TO_SLOT_SHAPE
cryptoworldz,/,desktop,/assets/link-previews/oneworldz.png,OneWorldz gateway preview,https://oneworldz.com/,1536,1229,landscape,1.25,296,150,wide-landscape,1.973,contain,true,REPLACE_OR_RECREATE_TO_SLOT_SHAPE
cryptoworldz,/,desktop,/assets/oneworldz-gpt/oneworldz-gpt.png,OneWorldz GPT reference artwork,,1536,1229,landscape,1.25,391,313,landscape,1.249,contain,false,KEEP
cryptoworldz,/,mobile,/assets/desktop/cryptoworldz/zed-command-centre.png,,http://127.0.0.1:40781/,1536,864,landscape,1.778,40,31,landscape,1.29,contain,false,KEEP
cryptoworldz,/,mobile,/assets/desktop/cryptoworldz/zed-command-centre.png,Approved ZED Command Centre artwork for CryptoWorldz headquarters,,1536,864,landscape,1.778,364,205,landscape,1.776,contain,false,KEEP
cryptoworldz,/,mobile,/assets/desktop/cryptoworldz/we-need-you.png,Approved CryptoWorldz builder and alliance production artwork,,1536,1024,landscape,1.5,352,235,landscape,1.498,contain,false,KEEP
cryptoworldz,/,mobile,/assets/mobile/solworldz.webp,SolWorldz official approved profile artwork,https://solworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
cryptoworldz,/,mobile,/assets/mobile/ethworldz.webp,EthWorldz official approved profile artwork,https://ethworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
cryptoworldz,/,mobile,/assets/mobile/baseworldz.webp,BaseWorldz official approved profile artwork,https://baseworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
cryptoworldz,/,mobile,/assets/mobile/bnbworldz.webp,BNBWorldz official approved profile artwork,https://bnbworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
cryptoworldz,/,mobile,/assets/mobile/xrpworldz.webp,XRPWorldz official approved profile artwork,https://xrpworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
cryptoworldz,/,mobile,/assets/mobile/suiworldz.webp,SuiWorldz official approved profile artwork,https://suiworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
cryptoworldz,/,mobile,/assets/mobile/hyperworldz.webp,HyperWorldz official approved profile artwork,https://hyperworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
cryptoworldz,/,mobile,/assets/mobile/robinworldz.webp,RobinWorldz official approved profile artwork,https://robinworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
cryptoworldz,/,mobile,/assets/mobile/next-big-coin.webp,HodlerWorldz education recognition and rewards identity,https://hodlerworldz.xyz/,1536,1536,square,1,96,96,square,1,contain,false,KEEP
cryptoworldz,/,mobile,/assets/desktop/cryptoworldz/command-centre-five.png,The five approved CryptoWorldz system leaders,,1536,1024,landscape,1.5,352,235,landscape,1.498,contain,false,KEEP
cryptoworldz,/,mobile,/assets/desktop/cryptoworldz/cryptoworldz-basedbid.webp,Approved CryptoWorldz and Based.bid partnership production artwork,,1536,1024,landscape,1.5,352,235,landscape,1.498,contain,false,KEEP
cryptoworldz,/,mobile,/assets/desktop/cryptoworldz/impactbased.png,Approved ImpactBased production artwork,,1536,1075,landscape,1.429,352,246,landscape,1.431,contain,false,KEEP
cryptoworldz,/,mobile,/assets/support/desktop/reagan-children-emblem-desktop.webp,Reagan and Children support emblem,https://cryptoworldz.xyz/support/reagan-children/,900,900,square,1,80,80,square,1,contain,false,KEEP
cryptoworldz,/,mobile,/assets/support/desktop/community-impact-emblem-desktop.webp,OneWorldz Community Impact emblem,https://cryptoworldz.xyz/support/community-impact/,900,900,square,1,80,80,square,1,contain,false,KEEP
cryptoworldz,/,mobile,/assets/support/desktop/jayjayteamdev-emblem-desktop.webp,JayJayTeamDev Helping Hands emblem,https://cryptoworldz.xyz/support/jayjayteamdev/,900,900,square,1,80,92,portrait-wide,0.87,contain,false,KEEP
cryptoworldz,/,mobile,/assets/support/davis-family/davis-family-hero.webp,Davis Family dedicated support,https://donateworldz.com/davis-family/,1536,864,landscape,1.778,96,190,portrait,0.505,contain,false,KEEP
cryptoworldz,/,mobile,/assets/desktop/purple-diamond-crew/banner.png,Approved Purple Diamond Crew and Hope Chest production artwork,,1229,1536,portrait-wide,0.8,352,440,portrait-wide,0.8,contain,false,KEEP
cryptoworldz,/,mobile,/assets/desktop/oneworldz/oneworldz-master.png,Approved OneWorldz One Vision production artwork,,1229,1536,portrait-wide,0.8,352,440,portrait-wide,0.8,contain,false,KEEP
cryptoworldz,/,mobile,/assets/link-previews/cryptoworldz.png,CryptoWorldz headquarters preview,http://127.0.0.1:40781/,1536,1536,square,1,132,132,square,1,contain,false,KEEP
cryptoworldz,/,mobile,/assets/link-previews/command-centre.png,Command Centre Ultimate preview,http://127.0.0.1:40781/command-centre/,1536,1024,landscape,1.5,132,118,square,1.119,contain,true,REPLACE_OR_RECREATE_TO_SLOT_SHAPE
cryptoworldz,/,mobile,/assets/link-previews/miniapp.png,CryptoWorldz MiniApp preview,http://127.0.0.1:40781/miniapp/,1536,1229,landscape,1.25,132,118,square,1.119,contain,false,KEEP
cryptoworldz,/,mobile,/assets/link-previews/oneworldz.png,OneWorldz gateway preview,https://oneworldz.com/,1536,1229,landscape,1.25,132,112,landscape,1.179,contain,false,KEEP
cryptoworldz,/,mobile,/assets/oneworldz-gpt/oneworldz-gpt.png,OneWorldz GPT reference artwork,,1536,1229,landscape,1.25,312,250,landscape,1.248,contain,false,KEEP
cryptoworldz,/apply/,desktop,/assets/desktop/cryptoworldz/command-centre-five.png,CryptoWorldz five protected leaders approved artwork,,1536,1024,landscape,1.5,1438,959,landscape,1.499,contain,false,KEEP
cryptoworldz,/apply/,mobile,/assets/desktop/cryptoworldz/command-centre-five.png,CryptoWorldz five protected leaders approved artwork,,1536,1024,landscape,1.5,388,280,landscape,1.386,contain,false,KEEP
cryptoworldz,/command-centre/,desktop,/assets/desktop/cryptoworldz/zed-command-centre.png,,http://127.0.0.1:40781/,1536,1536,square,1,54,54,square,1,contain,false,KEEP
